Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Variacao 1/0,mm_5,mm_10,retorno_diario,retorno_acumulado,volatilidade_5d,vol_21d,vol_historica_anual,vol_historica
2022-11-21,109.748,108.868,110.235,107.957,"16,65M","0,81%",0,110.345,111.8835,0.008064664278497391,-0.07442672446509735,0.013956666427157939,0.017590016351212774,0.2792328529372127,0.015786401225103774
2022-11-22,109.037,109.75,110.224,107.867,"15,06M","-0,65%",0,109.5202,111.253,-0.006478477967707841,-0.08042303053814936,0.01208653074157513,0.017446026978972497,0.27694709251490823,0.015786401225103774
2022-11-23,108.841,109.036,109.285,107.902,"13,20M","-0,18%",1,109.23979999999999,110.5211,-0.0017975549584087203,-0.08207602067924402,0.006317006760669896,0.01634009874642519,0.25939102608767595,0.015786401225103774
2022-11-24,111.831,108.846,112.612,108.846,"10,30M","2,75%",0,109.6654,110.3462,0.027471265423875346,-0.056859487404383735,0.014536270813684792,0.016424251549757747,0.2607269104261572,0.015786401225103774
2022-11-25,108.977,111.831,112.025,108.552,"12,31M","-2,55%",0,109.68679999999999,110.2664,-0.025520651697650942,-0.08092904792828037,0.01946541665945373,0.017103854101569862,0.2715152664809156,0.015786401225103774
2022-11-28,108.782,108.977,109.476,108.378,"11,49M","-0,18%",1,109.49359999999999,109.91929999999999,-0.0017893683988364772,-0.0825736044462061,0.01898162171272935,0.01680127962204069,0.2667120455254617,0.015786401225103774
2022-11-29,110.91,108.784,112.187,108.784,"14,72M","1,96%",1,109.8682,109.6942,0.01956205989961579,-0.06462685434289428,0.020801531272569826,0.016970636524372203,0.2694005030037503,0.015786401225103774
2022-11-30,112.486,110.91,112.486,110.202,"19,70M","1,42%",0,110.5972,109.9185,0.014209719592462422,-0.05133546422878721,0.020996881971267888,0.017311410466037166,0.27481012162137064,0.015786401225103774
2022-12-01,110.926,112.479,112.479,110.548,"15,19M","-1,39%",1,110.4162,110.04079999999999,-0.013868392511068084,-0.06449191637219254,0.018844471926613537,0.01723620835994216,0.27361632519659657,0.015786401225103774
2022-12-02,111.924,110.926,113.761,109.963,"15,98M","0,90%",0,111.0056,110.3462,0.008996988983646759,-0.05607516044968064,0.013361034138918778,0.017275342971374702,0.27423756789363046,0.015786401225103774
